Golden_ID,Organisation,Reference_Date,Challenger,DB_Match_Status,DB_Match_Strategy,DB_Incident_ID,Challenger_Match_Status,Challenger_Match_Strategy,Challenger_Source_URLs,Secteur_REF,Secteur_DB,Secteur_Challenger,Secteur_DB_Match,Secteur_Challenger_Match,Menace_REF,Menace_DB,Menace_Challenger,Menace_DB_Match,Menace_Challenger_Match,Localisation_REF,Localisation_DB,Localisation_Challenger,Localisation_DB_Match,Localisation_Challenger_Match
GOLD-0017,Mutuelle Générale de Prévoyance,2026-08-08,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-4E70364FA984,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/mutuelle-g-n-rale-de-pr-voyance-msjkkufska3mdj2z8xb,Finance / Assurance,Finance / Assurance,Finance / Assurance,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0018,AFPA,2026-08-07,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-F495CED1DF70,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/afpa-msj805wnmw8zz6kstul,Éducation / Formation,Inconnu,Éducation / Formation,False,True,Compromission de compte / messagerie,Compromission de compte / messagerie,Fuite de données,True,False,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0019,Intermarché,2026-08-05,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-7888D67D988E,MISSING,,,Commerce / Distribution,Inconnu,,False,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,Inconnu,,False,False
GOLD-0020,Stade Français Paris,2026-08-05,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-51115A21B49B,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/stade-fran-ais-paris-mshxny5ez43h7cehwd8,Sport,Sport,Numérique / Technologie,True,False,Ransomware,Ransomware,Fuite de données,True,False,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0021,Mairie de Rinxent,2026-08-03,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-27B5792965C7,MISSING,,,Administration / Collectivité,Administration / Collectivité,,True,False,Ransomware,Ransomware,,True,False,France métropolitaine,Inconnu,,False,False
GOLD-0022,ENT Seine-et-Marne,2026-08-02,FRENCHBREACHES_LLM_JSON,MISSING,,,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/ent-seine-et-marne-msbmzcv3k4jirk0p3,Éducation / Formation,,Éducation / Formation,False,True,Fuite de données,,Fuite de données,False,True,France métropolitaine,,France métropolitaine,False,True
GOLD-0023,CCI Nice Côte d'Azur,2026-08-01,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-4912EE5516BF,MISSING,,,Administration / Collectivité,Inconnu,,False,False,Compromission de compte / messagerie,Compromission de compte / messagerie,,True,False,France métropolitaine,Inconnu,,False,False
GOLD-0024,CY Cergy Paris Université,2026-08-01,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-D398A12C63DE,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/cy-cergy-paris-universit-msanv9saq6mlky1jlg,Éducation / Formation,Éducation / Formation,Éducation / Formation,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0025,Ministère de l'Éducation nationale,2026-07-31,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-938337DBDA6F,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/minist-re-de-l-ducation-nationale-ms98aai3bqkzfv424c,Administration / Collectivité,Administration / Collectivité,Administration / Collectivité,True,True,Fuite de données,Malware,Fuite de données,False,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0026,ENGIE Green,2026-07-30,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-9B6930A83850,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/engie-green-ms793t79jtz46e143go,Énergie / Utilities,Inconnu,Énergie / Utilities,False,True,Intrusion,Ransomware,Fuite de données,False,False,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0027,Lire Demain,2026-07-29,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-FFB6C7F47B15,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/lire-demain-ms5pejs6d6m5q6vnf18,Commerce / Distribution,Commerce / Distribution,Commerce / Distribution,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0028,Location-Etudiant.fr,2026-07-28,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-43AC9A4C158B,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/location-etudiant-ms3sftokma5qrg0nw5,Construction / BTP,Construction / BTP,Éducation / Formation,True,False,Intrusion,Fuite de données,Fuite de données,False,False,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0029,Mairie d'Injoux-Génissiat,2026-07-28,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-920654387FF9,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/mairie-d-injoux-g-nissiat-ms4wogn82f107pe49b6,Administration / Collectivité,Inconnu,Administration / Collectivité,False,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0030,Planity,2026-07-28,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-5548AD317C63,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/planity-ms4gnp7s4p4ptre2tub,Numérique / Technologie,Commerce / Distribution,Commerce / Distribution,False,False,Fuite de données,Compromission de compte / messagerie,Fuite de données,False,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0031,Nantes Université,2026-07-28,FRENCHBREACHES_LLM_JSON,MISSING,,,MISSING,,,Éducation / Formation,,,False,False,Fuite de données,,,False,False,France métropolitaine,,,False,False
GOLD-0032,Verspieren,2026-07-27,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-904D84D2D2A9,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/verspieren-ms3fl0uu4zayhpz2vh,Finance / Assurance,Finance / Assurance,Numérique / Technologie,True,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0033,Batipro 33,2026-07-26,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-C80F4470E4D1,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/batipro33-ms2b8uma6p3przeq7wv,Construction / BTP,Inconnu,Construction / BTP,False,True,Intrusion,Fuite de données,Fuite de données,False,False,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0034,Ministère de l'Intérieur,2026-07-26,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-9CEB5476F2D6,MISSING,,,Administration / Collectivité,Administration / Collectivité,,True,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,France métropolitaine,,True,False
GOLD-0035,Driveco,2026-07-25,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-C6A499CF97F1,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/driveco-ms0wsz8la08oz17ytnb | https://annuaire-entreprises.data.gouv.fr/entreprise/818943938,Énergie / Utilities,Inconnu,Services aux entreprises,False,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0036,Alpissimmo,2026-07-24,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-F4E5D8AEDD34,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/alpissimmo-mrzgdn49uk099slvnm,Construction / BTP,Inconnu,Commerce / Distribution,False,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0037,Centre Hospitalier de Chaumont,2026-07-24,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-1EEA7737B334,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/centre-hospitalier-de-chaumont-mry2us6z9lxt08w8ztw,Santé,Santé,Finance / Assurance,True,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0038,SKOLAE,2026-07-24,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-65B2FFF8F199,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/skolae-mrzem313qv3bs8qdks8,Éducation / Formation,Éducation / Formation,Éducation / Formation,True,True,Intrusion,Fuite de données,Fuite de données,False,False,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0039,Mairie de Drancy,2026-07-23,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-E9B0D5CE48BA,MISSING,,,Administration / Collectivité,Administration / Collectivité,,True,False,Ransomware,Ransomware,,True,False,France métropolitaine,Inconnu,,False,False
GOLD-0040,Avignon Université,2026-07-23,FRENCHBREACHES_LLM_JSON,MISSING,,,MISSING,,,Éducation / Formation,,,False,False,Fuite de données,,,False,False,France métropolitaine,,,False,False
GOLD-0041,BANATIC,2026-07-22,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-4FE1AD7A39FE,MISSING,,,Administration / Collectivité,Inconnu,,False,False,Fuite de données,Phishing / fraude,,False,False,France métropolitaine,Inconnu,,False,False
GOLD-0042,Immobilière Tariot,2026-07-22,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-ADC1FF7A21EE,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/immobili-re-tariot-mrw6q1xmi2mjem1nm,Construction / BTP,Construction / BTP,Commerce / Distribution,True,False,Fuite de données,Compromission de compte / messagerie,Fuite de données,False,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0043,Rassemblement National,2026-07-22,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-5F211216BEAE,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/rassemblement-national-mrtqqhddmbm050xqnkm,Inconnu,Inconnu,Sport,True,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0044,Centre Hospitalier de Perpignan,2026-07-20,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-B56027A9A12A,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/centre-hospitalier-de-perpignan-mrtt1nkz81u5vy7trwc,Santé,Santé,Numérique / Technologie,True,False,Fuite de données,Phishing / fraude,Fuite de données,False,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0045,PSB Paris School of Business,2026-07-20,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-291D14C6B9F5,MISSING,,,Éducation / Formation,Inconnu,,False,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,Inconnu,,False,False
GOLD-0046,Kosc Telecom,2026-07-15,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-CB368AFFFDB8,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/kosc-telecom-mrko5ru4s6tye49s7jp,Numérique / Technologie,Inconnu,Numérique / Technologie,False,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0047,KeepCool,2026-07-13,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-59A44F04FF31,MISSING,,,Sport,Commerce / Distribution,,False,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,Inconnu,,False,False
GOLD-0048,Lidl France,2026-07-13,FRENCHBREACHES_LLM_JSON,MISSING,,,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/lidl-france-mri14wg3inxgruxb6ep,Commerce / Distribution,,Commerce / Distribution,False,True,Incident tiers,,Fuite de données,False,False,France métropolitaine,,France métropolitaine,False,True
GOLD-0049,École Supérieure des Métiers de l’Immobilier,2026-07-13,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-2A2858828255,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/l-cole-sup-rieure-des-m-tiers-de-l-immobilier-mrgkdfed2uqnabwqw5p,Éducation / Formation,Éducation / Formation,Éducation / Formation,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0050,Bebeboutik,2026-07-11,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-1F9BE8617194,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/bebeboutik-mrcl1vj3lfyle15iu2p,Commerce / Distribution,Inconnu,Commerce / Distribution,False,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0051,PPA Business School,2026-07-11,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-79E9E0E42B80,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/ppa-business-school-mrf6wkxt8sube30ze9e,Éducation / Formation,Inconnu,Industrie / Manufacture,False,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0052,Ville de Ouangani,2026-07-10,FRENCHBREACHES_LLM_JSON,MISSING,,,MISSING,,,Administration / Collectivité,,,False,False,Ransomware,,,False,False,Mayotte,,,False,False
GOLD-0053,Fédération Française Handisport,2026-07-09,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-6A9D6083CDEB,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-handisport-mrdnhmv750k13y1x4t,Sport,Inconnu,Sport,False,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0054,Pays du Mont-Blanc,2026-07-09,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-48A1886DA2F7,MISSING,,,Administration / Collectivité,Inconnu,,False,False,Incident tiers,Ransomware,,False,False,France métropolitaine,Inconnu,,False,False
GOLD-0055,École Supérieure de Génie Informatique,2026-07-09,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-171F220F596A,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/cole-sup-rieure-de-g-nie-informatique-mrcgprix0kpjq30mdyab,Éducation / Formation,Éducation / Formation,Éducation / Formation,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0056,Ministère de la Culture,2026-07-08,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-E814197D976B,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/minist-re-de-la-culture-mr8fgj8hukpv9n8h6e,Administration / Collectivité,Administration / Collectivité,Administration / Collectivité,True,True,Intrusion,Phishing / fraude,Fuite de données,False,False,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0057,Télécom Saint-Étienne,2026-07-08,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-8D8FDF029408,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/t-l-com-saint-tienne-mrawy7n5yioswt59sa,Éducation / Formation,Numérique / Technologie,Numérique / Technologie,False,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0058,1001Coques,2026-07-07,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-86062736264A,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/1001coques-mr70sa9aoekv6yygwrf,Commerce / Distribution,Numérique / Technologie,Transport / Logistique,False,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0059,ENS Paris-Saclay,2026-07-07,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-EEDEA7EC3595,MISSING,,,Éducation / Formation,Inconnu,,False,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,France métropolitaine,,True,False
GOLD-0060,Espaces Atypiques,2026-07-06,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-BFE7FA130189,MISSING,,,Construction / BTP,Construction / BTP,,True,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,France métropolitaine,,True,False
GOLD-0061,IAD Group,2026-07-03,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-F65B640D74E9,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/iad-groupe-mr1iumodr3zkls2u7z | https://www.bing.com/ck/a?!&&p=5c0b3f0a780ce65cf25e2752134ed7e5fdd3b045667a9b12d9ed6de92585fd03JmltdHM9MTc4NjgzODQwMA&ptn=3&ver=2&hsh=4&fclid=0196688e-a2e4-69b5-0081-7f39a3996823&u=a1aHR0cHM6Ly93d3cuZmx5ZHVsbGVzLmNvbS8&ntb=1 | https://www.bing.com/ck/a?!&&p=f0c3508f990c79a342eeb9dbecd9bfd52600e56e3499741ba7c449f6688368b8JmltdHM9MTc4NjgzODQwMA&ptn=3&ver=2&hsh=4&fclid=0196688e-a2e4-69b5-0081-7f39a3996823&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvRHVsbGVzX0ludGVybmF0aW9uYWxfQWlycG9ydA&ntb=1,Construction / BTP,Construction / BTP,Transport / Logistique,True,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,Inconnu,France métropolitaine,False,True
GOLD-0062,Police Municipale Le Pontet,2026-07-01,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-4D61E266907A,MISSING,,,Administration / Collectivité,Administration / Collectivité,,True,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,Inconnu,,False,False
GOLD-0063,DGFiP,2026-06-30,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-22184029AA63,MISSING,,,Administration / Collectivité,Administration / Collectivité,,True,False,Intrusion,Fuite de données,,False,False,France métropolitaine,France métropolitaine,,True,False
GOLD-0064,Air Corsica,2026-06-29,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-871A659D5296,MISSING,,,Transport / Logistique,Inconnu,,False,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,Inconnu,,False,False
GOLD-0065,Axonaut,2026-06-29,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-2673611A058B,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/axonaut-mqygp4ygl2o4wc6v2i | https://www.bing.com/ck/a?!&&p=d35143e73e7fd34295a5b2ce207555d4ce01b7218764fa2ff5cde7ce9a96fd6bJmltdHM9MTc4NjgzODQwMA&ptn=3&ver=2&hsh=4&fclid=0ec0205f-79da-68cc-2dd8-37e8788f69f8&u=a1aHR0cHM6Ly93d3cuZ2xvY2t0YWxrLmNvbS90aHJlYWRzL2dsb2NrLTM2LWFuZC1wb2NrZXQtY2FycnkuMjIxMjg5Lw&ntb=1 | https://www.bing.com/ck/a?!&&p=371e22de0acdfc611b3e5962da67505f8b60ebc724e9fe508623c20189f8ed04JmltdHM9MTc4NjgzODQwMA&ptn=3&ver=2&hsh=4&fclid=0ec0205f-79da-68cc-2dd8-37e8788f69f8&u=a1aHR0cHM6Ly93d3cuZ2xvY2t0YWxrLmNvbS90aHJlYWRzL2dsb2NrLXJlY29pbC1zcHJpbmctdGVzdC4xMDg3MjEwLw&ntb=1 | https://www.bing.com/ck/a?!&&p=6406faf8dbe29f61f4bb4821a5de139adeea6c7f5ee9760a34d8c257cfbef1c1JmltdHM9MTc4NjgzODQwMA&ptn=3&ver=2&hsh=4&fclid=0ec0205f-79da-68cc-2dd8-37e8788f69f8&u=a1aHR0cHM6Ly9jaGF0Z3B0LmNvbS8&ntb=1,Numérique / Technologie,Inconnu,Éducation / Formation,False,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,La Réunion,France métropolitaine,False,True
GOLD-0066,CapiFrance,2026-06-29,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-FABC6345C6E5,MISSING,,,Construction / BTP,Inconnu,,False,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,France métropolitaine,,True,False
GOLD-0067,Ministère des Sports,2026-06-26,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-B9C4EBD81CBB,MISSING,,,Administration / Collectivité,Administration / Collectivité,,True,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,Inconnu,,False,False
