Golden_ID,Organisation,Organisation_Key,Reference_Date,Source_IDs,Source_URLs,Secteur_REF,Menace_REF,Localisation_REF,Secteur_Confidence,Menace_Confidence,Localisation_Confidence,Secteur_Evidence,Menace_Evidence,Localisation_Evidence,Incident_ID_Snapshot,Reviewed_At,Golden_Version,Taxonomy_Version
GOLD-0012,Mairie de Sixt-sur-Aff,mairie de sixt sur aff,2026-08-10,FRENCHBREACHES,,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Une mairie est une collectivité territoriale locale.,L'alerte FrenchBreaches référence une violation de données attribuée à la mairie.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-3ABFF451EA33,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0013,Ville de Gagny,ville de gagny,2026-08-10,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/cyberattaque-a-gagny-la-ville-confirme-un-acces-non-autorise-a-des-donnees-personnelles/,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,La Ville de Gagny est une collectivité territoriale.,La Ville confirme un accès non autorisé à des données personnelles et une violation de données.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-FB41041C22B5,2026-08-17,2,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0014,Bureau Vallée,bureau vallee,2026-08-09,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/bureau-vallee-55-949-fiches-clients-en-fuite-apres-une-cyberattaque/,Commerce / Distribution,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Bureau Vallée est un réseau de distribution de fournitures de bureau.,La source décrit plusieurs dizaines de milliers de fiches clients divulguées.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-2972BA18B0BD,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0015,Le Mans FC,le mans fc,2026-08-09,FRENCHBREACHES,,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Le Mans FC est un club de football.,L'alerte FrenchBreaches référence une violation de données attribuée au club.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-1645372F6E23,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0016,BlgCloud,blgcloud,2026-08-08,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/blgcloud-les-donnees-de-159-entreprises-pirate-des-millions-de-documents-en-fuite/,Numérique / Technologie,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,BlgCloud fournit une infrastructure ou des services cloud utilisés par des entreprises.,BLGCloud documente une exfiltration de données et de documents de clients.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-1DC7E716ACF6,2026-08-17,2,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0017,Mutuelle Générale de Prévoyance,mutuelle generale de prevoyance,2026-08-08,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/mutuelle-generale-de-prevoyance-133-018-iban-et-pres-de-200-000-identites-dans-une-fuite-massive/,Finance / Assurance,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,La Mutuelle Générale de Prévoyance exerce une activité de mutuelle/prévoyance.,La source décrit une fuite massive contenant des identités et IBAN.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-4E70364FA984,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0018,AFPA,afpa,2026-08-07,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/afpa-pirate-101-comptes-exposes-et-un-acces-administrateur-publie/,Éducation / Formation,Compromission de compte / messagerie,France métropolitaine,HIGH,HIGH,HIGH,L'AFPA est un organisme national de formation professionnelle.,La source décrit des comptes exposés et la publication d'un accès administrateur.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-F495CED1DF70,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0019,Intermarché,intermarche,2026-08-05,CYBERATTAQUE_ORG,https://www.cyberattaque.org/intermarche-victime-dune-cyberattaque-les-donnees-de-clients-drive-exposees/,Commerce / Distribution,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Intermarché est une enseigne de grande distribution.,La source décrit l'exposition de données de clients du service Drive.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-7888D67D988E,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0020,Stade Français Paris,stade francais paris,2026-08-05,RANSOMWARE_LIVE | FRENCHBREACHES | CYBERATTAQUE_ORG,https://www.cyberattaque.org/stade-francais-paris-victime-dun-ransomware-20-go-de-donnees-revendiques/,Sport,Ransomware,France métropolitaine,HIGH,HIGH,HIGH,Le Stade Français Paris est un club professionnel de rugby.,La source identifie explicitement un ransomware et une revendication de données.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-51115A21B49B,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0021,Mairie de Rinxent,mairie de rinxent,2026-08-03,CYBERATTAQUE_ORG | RANSOMWARE_LIVE,https://www.cyberattaque.org/mairie-de-rinxent-160-go-de-donnees-revendiques-apres-une-cyberattaque/,Administration / Collectivité,Ransomware,France métropolitaine,HIGH,MEDIUM,HIGH,Une mairie est une collectivité territoriale.,Le même incident est revendiqué par une source ransomware et associé à 160 Go de données.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-27B5792965C7,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0022,ENT Seine-et-Marne,ent seine et marne,2026-08-02,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Un ENT est une plateforme de services numériques destinée à la communauté éducative.,L'alerte FrenchBreaches référence une violation de données attribuée à l'ENT.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-2B603127BE7C,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0023,CCI Nice Côte d'Azur,cci nice cote d azur,2026-08-01,CYBERATTAQUE_ORG,https://www.cyberattaque.org/cci-nice-cote-dazur-un-compte-administrateur-pirate-les-donnees-rh-de-candidats-exportees/,Administration / Collectivité,Compromission de compte / messagerie,France métropolitaine,HIGH,HIGH,HIGH,Une chambre de commerce et d'industrie est un établissement public représentant les entreprises de son territoire.,La source décrit le piratage d'un compte administrateur et l'export de données RH.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-4912EE5516BF,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0024,CY Cergy Paris Université,cy cergy paris universite,2026-08-01,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,CY Cergy Paris Université est un établissement public d'enseignement supérieur.,L'alerte FrenchBreaches référence une violation de données attribuée à l'université.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-D398A12C63DE,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0025,Ministère de l'Éducation nationale,ministere de l education nationale,2026-07-31,FRENCHBREACHES | CYBERATTAQUE_ORG,https://www.education.gouv.fr/incident-de-securite-affectant-les-donnees-de-personnels-de-l-education-nationale-505407,Administration / Collectivité,Compromission de compte / messagerie,France métropolitaine,HIGH,HIGH,HIGH,Un ministère est une administration de l'État.,L'accès frauduleux du 25 juillet 2026 fait suite à l'usurpation d'un compte professionnel.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-938337DBDA6F,2026-08-17,2,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0026,ENGIE Green,engie green,2026-07-30,FRENCHBREACHES | CYBERATTAQUE_ORG,https://www.cyberattaque.org/engie-green-621-019-clients-en-fuite-apres-une-intrusion-par-injection-sql/,Énergie / Utilities,Intrusion,France métropolitaine,HIGH,HIGH,HIGH,"ENGIE Green développe, construit et exploite des installations de production d'énergie renouvelable.","La source décrit une compromission revendiquée par injection SQL, donc un accès non autorisé.",La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-9B6930A83850,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0027,Lire Demain,lire demain,2026-07-29,FRENCHBREACHES,,Commerce / Distribution,Fuite de données,France métropolitaine,MEDIUM,HIGH,HIGH,Lire Demain distribue et commercialise des ouvrages et ressources auprès de clients.,L'alerte FrenchBreaches référence une violation de données attribuée à l'entité.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-FFB6C7F47B15,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0028,Location-Etudiant.fr,location etudiant fr,2026-07-28,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/location-etudiant-fr-pirate-10-go-de-donnees-en-fuite/,Construction / BTP,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Location-Etudiant.fr est un portail de location immobilière étudiante.,Des données et accès administrateurs ont été diffusés ; une fuite est donc établie.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-43AC9A4C158B,2026-08-17,2,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0029,Mairie d'Injoux-Génissiat,mairie d injoux genissiat,2026-07-28,FRENCHBREACHES,,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Une mairie est une collectivité territoriale.,L'alerte FrenchBreaches référence une violation de données attribuée à la mairie.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-920654387FF9,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0030,Planity,planity,2026-07-28,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/planity-138-000-donnees-exfiltrees-dans-une-cyberattaque/,Numérique / Technologie,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Planity exploite une plateforme française de réservation en ligne et un logiciel de gestion pour professionnels de la beauté.,Planity confirme l'exposition d'environ 138 000 données dans un environnement de test.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-5548AD317C63,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0031,Nantes Université,nantes universite,2026-07-28,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Nantes Université est un établissement public d'enseignement supérieur.,L'alerte FrenchBreaches référence une violation de données attribuée à l'université.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-C413DE37E4F0,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0032,Verspieren,verspieren,2026-07-27,FRENCHBREACHES,,Finance / Assurance,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Verspieren est un courtier en assurance.,L'alerte FrenchBreaches référence une violation de données attribuée au courtier.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-904D84D2D2A9,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0033,Batipro 33,batipro 33,2026-07-26,CYBERATTAQUE_ORG,https://www.cyberattaque.org/batipro-33-pirate-1119-personnes-et-cinq-bases-sql-internes-revendiquees/,Éducation / Formation,Intrusion,France métropolitaine,HIGH,HIGH,HIGH,BATIPRO se présente comme un organisme de formation spécialisé dans les métiers du bâtiment.,La source décrit la compromission d'un sous-domaine et de cinq bases SQL internes.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-C80F4470E4D1,2026-08-17,2,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0034,Ministère de l'Intérieur,ministere de l interieur,2026-07-26,FRENCHBREACHES,,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Un ministère est une administration de l'État.,L'alerte FrenchBreaches référence une violation de données attribuée au ministère.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-9CEB5476F2D6,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0035,Driveco,driveco,2026-07-25,FRENCHBREACHES,,Énergie / Utilities,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Driveco exploite des infrastructures de recharge pour véhicules électriques et des services énergétiques associés.,L'alerte FrenchBreaches référence une violation de données attribuée à Driveco.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-C6A499CF97F1,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0036,Alpissimmo,alpissimmo,2026-07-24,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/alpissimmo-pres-de-600-projets-de-vacances-exposes-avec-coordonnees-et-dates-de-sejour/,Construction / BTP,Fuite de données,France métropolitaine,MEDIUM,HIGH,HIGH,Alpissimmo est une plateforme liée à l'immobilier et aux séjours locatifs.,La source décrit l'extraction et l'exposition de formulaires contenant coordonnées et dates de séjour.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-F4E5D8AEDD34,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0037,Centre Hospitalier de Chaumont,centre hospitalier de chaumont,2026-07-24,FRENCHBREACHES,,Santé,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Un centre hospitalier est un établissement de soins.,L'alerte FrenchBreaches référence une violation de données attribuée à l'établissement.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-1EEA7737B334,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0038,SKOLAE,skolae,2026-07-24,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/skolae-victime-dune-intrusion-dans-ses-systemes-informatiques/,Éducation / Formation,Intrusion,France métropolitaine,HIGH,HIGH,HIGH,SKOLAE est un groupe français d'enseignement supérieur et de formation professionnelle.,SKOLAE confirme la détection d'un accès non autorisé à un environnement informatique.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-65B2FFF8F199,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0039,Mairie de Drancy,mairie de drancy,2026-07-23,CYBERATTAQUE_ORG,https://www.cyberattaque.org/cyberattaque-a-drancy-la-mairie-refuse-la-rancon/,Administration / Collectivité,Ransomware,France métropolitaine,HIGH,MEDIUM,HIGH,Une mairie est une collectivité territoriale.,La source indique qu'une rançon a été demandée après la cyberattaque.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-E9B0D5CE48BA,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0040,Avignon Université,avignon universite,2026-07-23,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Avignon Université est un établissement public d'enseignement supérieur.,L'alerte FrenchBreaches référence une violation de données attribuée à l'université.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-0AE17095DF48,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0041,BANATIC,banatic,2026-07-22,CYBERATTAQUE_ORG,https://www.cyberattaque.org/banatic-91-000-elus-et-responsables-de-collectivites-exposes-apres-une-cyberattaque/,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,BANATIC est une base nationale de l'administration relative aux collectivités et groupements.,La source décrit l'exposition de données de dizaines de milliers d'élus et responsables de collectivités.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-4FE1AD7A39FE,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0042,Immobilière Tariot,immobiliere tariot,2026-07-22,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/immobiliere-tariot-fuite-des-plans-de-logements-rib-et-dossiers-de-coproprietaires-marseillais/,Construction / BTP,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Immobilière Tariot est une agence immobilière et un syndic de copropriété basé à Marseille.,"La source décrit la publication de documents immobiliers, RIB et données de copropriétaires.",La source situe explicitement l'agence et les copropriétés concernées à Marseille.,INC-ADC1FF7A21EE,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0043,Rassemblement National,rassemblement national,2026-07-22,FRENCHBREACHES,,Inconnu,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Parti politique : aucune catégorie sectorielle de la nomenclature Cyberwatch ne correspond correctement.,L'alerte FrenchBreaches référence une violation de données attribuée au parti.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-5F211216BEAE,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0044,Centre Hospitalier de Perpignan,centre hospitalier de perpignan,2026-07-20,CYBERATTAQUE_ORG,https://www.cyberattaque.org/centre-hospitalier-de-perpignan-des-dossiers-de-patients-en-fuite/,Santé,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Le Centre Hospitalier de Perpignan est un établissement public de santé.,La source décrit des dossiers et informations de patients exposés; une intrusion directe dans le SI n'est pas établie.,"Le centre hospitalier est situé à Perpignan, en France métropolitaine.",INC-B56027A9A12A,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0045,PSB Paris School of Business,psb paris school of business,2026-07-20,CYBERATTAQUE_ORG,https://www.cyberattaque.org/psb-paris-school-of-business-864-dossiers-dinscription-detudiants-mis-en-vente-avec-pieces-didentite/,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,PSB Paris School of Business est une école de commerce et d'enseignement supérieur.,La source décrit la mise en vente de centaines de dossiers d'inscription d'étudiants.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-291D14C6B9F5,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0046,Kosc Telecom,kosc telecom,2026-07-15,FRENCHBREACHES,,Numérique / Technologie,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Kosc Telecom fournit des services et infrastructures de télécommunications.,L'alerte FrenchBreaches référence une violation de données attribuée à l'opérateur.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-CB368AFFFDB8,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0047,KeepCool,keepcool,2026-07-13,FRENCHBREACHES,,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,KeepCool exploite un réseau de salles de sport et de fitness.,L'alerte FrenchBreaches référence une violation de données attribuée au réseau.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-59A44F04FF31,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0048,Lidl France,lidl france,2026-07-13,CYBERATTAQUE_ORG,https://www.cyberattaque.org/lidl-des-donnees-de-clients-exposees-apres-une-cyberattaque-chez-un-prestataire/,Commerce / Distribution,Incident tiers,France métropolitaine,HIGH,HIGH,HIGH,Lidl France est une enseigne de grande distribution.,La source attribue explicitement l'exposition des données à une cyberattaque chez un prestataire de Lidl.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-E2D891374E13,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0049,École Supérieure des Métiers de l’Immobilier,ecole superieure des metiers de limmobilier,2026-07-13,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,L'entité est un établissement d'enseignement spécialisé dans les métiers de l'immobilier.,L'alerte FrenchBreaches référence une violation de données attribuée à l'école.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-2A2858828255,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0050,Bebeboutik,bebeboutik,2026-07-11,FRENCHBREACHES,,Commerce / Distribution,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Bebeboutik est un site de commerce en ligne spécialisé dans les produits pour bébé et famille.,L'alerte FrenchBreaches référence une violation de données attribuée au marchand.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-1F9BE8617194,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0051,PPA Business School,ppa business school,2026-07-11,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,PPA Business School est un établissement d'enseignement supérieur.,L'alerte FrenchBreaches référence une violation de données attribuée à l'école.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-79E9E0E42B80,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0052,Ville de Ouangani,ville de ouangani,2026-07-10,RANSOMWARE_LIVE,https://www.ransomware.live/#/victim/ville-de-ouangani,Administration / Collectivité,Ransomware,Mayotte,HIGH,HIGH,HIGH,Ouangani est une commune de Mayotte.,Ransomware.live référence la collectivité comme victime d'un groupe de ransomware.,Ouangani est une commune située à Mayotte.,INC-DEE773FAD582,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
